opportunity_id,trial_id,product,region,stage,won,acv_usd
O00000,T00004,DPM,LATAM,Closed Lost,0,
O00001,T00005,DPM,EMEA,Closed Lost,0,
O00002,T00012,DPA,NAM,Discovery,0,11600.0
O00003,T00020,DPA,NAM,Closed Won,1,29300.0
O00004,T00048,DPA,APAC,Discovery,0,16000.0
O00005,T00063,SQL Sentry,APAC,Proposal,0,9600.0
O00006,T00082,DPM,EMEA,Technical Evaluation,0,19000.0
O00007,T00112,SQL Sentry,NAM,Closed Lost,0,
O00008,T00117,DPA,EMEA,Negotiation,0,29000.0
O00009,T00130,DPM,APAC,Discovery,0,8800.0
O00010,T00145,DPA,NAM,Negotiation,0,15600.0
O00011,T00149,DPM,APAC,Technical Evaluation,0,16700.0
O00012,T00181,DPM,NAM,Technical Evaluation,0,13300.0
O00013,T00205,SQL Sentry,EMEA,Discovery,0,10300.0
O00014,T00206,SQL Sentry,EMEA,Closed Won,1,2700.0
O00015,T00227,DPA,EMEA,Closed Lost,0,
O00016,T00234,SQL Sentry,NAM,Proposal,0,41200.0
O00017,T00245,DPM,NAM,Proposal,0,7600.0
O00018,T00248,SQL Sentry,NAM,Closed Lost,0,
O00019,T00259,SQL Sentry,NAM,Negotiation,0,9100.0
O00020,T00264,SQL Sentry,APAC,Discovery,0,7200.0
O00021,T00272,DPA,APAC,Proposal,0,2900.0
O00022,T00278,SQL Sentry,LATAM,Technical Evaluation,0,12000.0
O00023,T00279,SQL Sentry,NAM,Closed Lost,0,
O00024,T00288,SQL Sentry,EMEA,Proposal,0,17800.0
O00025,T00290,DPM,LATAM,Technical Evaluation,0,47900.0
O00026,T00293,SQL Sentry,NAM,Discovery,0,42900.0
O00027,T00300,DPA,EMEA,Closed Lost,0,
O00028,T00308,DPA,NAM,Discovery,0,10900.0
O00029,T00321,DPA,NAM,Technical Evaluation,0,8500.0
O00030,T00329,DPM,EMEA,Closed Lost,0,
O00031,T00334,DPM,EMEA,Closed Lost,0,
O00032,T00335,DPA,NAM,Closed Lost,0,
O00033,T00351,DPA,EMEA,Negotiation,0,33100.0
O00034,T00367,DPA,NAM,Closed Lost,0,
O00035,T00381,SQL Sentry,APAC,Proposal,0,5100.0
O00036,T00384,DPA,APAC,Closed Lost,0,
