trial_id,logins,instances_monitored,wait_time_analyses_run,tuning_advisors_used,anomaly_alerts_configured,reports_generated,feature_adoption_rate,engagement_score
T00000,0,0,0,0,0,0,0.0,6
T00001,2,1,0,0,0,0,0.0,14
T00002,0,0,0,0,0,0,0.0,1
T00003,0,0,0,0,0,0,0.0,3
T00004,17,6,12,1,1,2,0.65,76
T00005,9,7,15,5,2,1,0.71,75
T00006,1,0,0,0,0,0,0.0,4
T00007,16,7,10,6,1,1,0.56,60
T00008,0,1,0,0,0,0,0.0,2
T00009,16,7,7,6,1,2,0.69,74
T00010,2,1,1,1,0,1,0.24,7
T00011,1,0,0,0,0,0,0.0,2
T00012,17,3,13,5,2,1,0.77,70
T00013,0,1,0,0,0,0,0.0,11
T00014,3,1,0,0,0,0,0.0,9
T00015,4,4,8,2,1,2,0.48,41
T00016,1,0,0,0,0,0,0.0,1
T00017,0,0,0,0,0,0,0.0,1
T00018,0,0,0,0,0,0,0.0,1
T00019,0,0,0,0,0,0,0.0,7
T00020,11,3,12,6,2,2,0.84,75
T00021,16,5,5,2,3,1,0.38,50
T00022,0,0,0,0,0,0,0.0,1
T00023,1,1,0,0,0,0,0.0,8
T00024,1,0,0,0,0,0,0.0,5
T00025,0,0,0,0,0,0,0.0,1
T00026,0,0,0,0,0,0,0.0,6
T00027,11,6,12,4,3,1,0.55,57
T00028,1,0,0,0,0,0,0.0,11
T00029,2,1,0,0,0,0,0.0,12
T00030,9,4,4,2,2,0,0.43,30
T00031,0,1,0,0,0,0,0.0,11
T00032,0,0,0,0,0,0,0.0,3
T00033,0,1,0,0,0,0,0.0,1
T00034,0,0,0,0,0,0,0.0,6
T00035,2,1,0,0,0,0,0.0,6
T00036,0,0,0,0,0,0,0.0,4
T00037,0,0,0,0,0,0,0.0,7
T00038,0,0,0,0,0,0,0.0,1
T00039,18,4,12,8,3,3,0.62,66
T00040,0,0,0,0,0,0,0.0,3
T00041,0,1,0,0,0,0,0.0,7
T00042,9,2,8,1,2,4,0.59,48
T00043,0,0,0,0,0,0,0.0,1
T00044,0,0,0,0,0,0,0.0,2
T00045,10,3,8,2,0,1,0.57,42
T00046,16,5,4,2,2,0,0.49,52
T00047,1,1,0,0,0,0,0.0,23
T00048,8,4,9,6,3,2,0.57,55
T00049,0,0,0,0,0,0,0.0,7
T00050,0,0,0,0,0,0,0.0,7
T00051,2,0,0,0,0,0,0.0,1
T00052,0,0,0,0,0,0,0.0,7
T00053,0,0,0,0,0,0,0.0,4
T00054,1,0,0,0,0,0,0.0,2
T00055,0,0,0,0,0,0,0.0,1
T00056,9,3,8,6,1,1,0.56,56
T00057,15,2,8,2,0,1,0.55,52
T00058,2,1,1,1,0,0,0.19,1
T00059,17,4,9,3,2,3,0.64,55
T00060,7,1,3,1,0,1,0.35,13
T00061,6,3,7,4,3,1,0.49,43
T00062,11,2,7,0,1,2,0.42,33
T00063,15,5,11,5,1,0,0.53,60
T00064,0,0,0,0,0,0,0.0,6
T00065,1,1,0,0,0,0,0.0,1
T00066,0,0,0,0,0,0,0.0,6
T00067,0,0,0,0,0,0,0.0,1
