trial_id,company_id,signup_date,product,deployment_type,company_size,region,country,db_platform,persona,acquisition_channel,campaign,landing_variant,trial_length_days,activated,is_pql,sales_assisted,became_sql,trial_extended,extension_days,converted,time_to_convert_days,non_conversion_reason,competitor,plan,acv_usd,mrr_usd,seats_purchased,cac_usd
T100000,C200000,2026-03-17,SQL Sentry,self_hosted,mid_market,NAM,United States,Azure SQL,DBA,paid_search,gads-brand,A,14,true,false,false,false,true,7,true,18.0,,,Professional,8300.0,692.0,7.0,73.0
T100001,C200001,2025-10-12,DPM,saas,mid_market,EMEA,Germany,MongoDB,DBA,events,pass-summit,B,30,false,false,false,false,false,0,false,,setup_too_complex,,,,,,80.0
T100002,C200002,2026-04-21,DPA,self_hosted,SMB,LATAM,Brazil,Oracle,IT_ops,paid_search,gads-brand,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,84.0
T100003,C200003,2026-02-12,DPA,self_hosted,SMB,NAM,United States,MySQL,IT_ops,paid_social,li-dba-persona,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,91.0
T100004,C200004,2025-03-17,SQL Sentry,self_hosted,SMB,NAM,United States,Azure SQL,IT_ops,email,db-tips-drip,A,14,false,false,false,false,false,0,false,,missing_db_platform,,,,,,6.0
T100005,C200005,2026-06-06,DPA,self_hosted,SMB,EMEA,United Kingdom,Azure SQL,DBA,referral,g2-review,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,14.0
T100006,C200006,2026-03-11,SQL Sentry,self_hosted,mid_market,NAM,Canada,Azure SQL,IT_ops,organic,organic-brand,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,9.0
T100007,C200007,2026-03-22,SQL Sentry,self_hosted,SMB,EMEA,United Kingdom,SQL Server,developer,paid_search,bing-dba,A,14,true,false,false,false,false,0,true,13.0,,,Standard,3400.0,283.0,3.0,60.0
T100008,C200008,2025-04-10,SQL Sentry,self_hosted,mid_market,NAM,United States,SQL Server,DBA,paid_search,gads-dba-tools,A,14,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,87.0
T100009,C200009,2025-10-18,DPA,self_hosted,SMB,APAC,Japan,MySQL,DBA,channel_partner,partner-portal,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,59.0
T100010,C200010,2025-09-06,DPA,self_hosted,enterprise,APAC,India,PostgreSQL,developer,content,whitepaper-query-tuning,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,39.0
T100011,C200011,2026-05-18,DPM,saas,enterprise,EMEA,Netherlands,PostgreSQL,developer,events,sqlbits,B,14,true,true,true,true,false,0,true,10.0,,,Premier,23300.0,1942.0,19.0,153.0
T100012,C200012,2026-01-19,DPA,self_hosted,SMB,APAC,Australia,SQL Server,DBA,paid_social,li-retargeting,A,14,true,false,false,false,false,0,false,,no_response,,,,,,138.0
T100013,C200013,2026-04-06,DPA,self_hosted,enterprise,NAM,United States,Azure SQL,DBA,paid_social,li-retargeting,B,14,true,false,false,false,false,0,true,9.0,,,Premier,21000.0,1750.0,18.0,131.0
T100014,C200014,2025-10-14,DPA,self_hosted,mid_market,EMEA,France,Amazon RDS,IT_ops,direct,direct,A,14,false,false,false,false,false,0,false,,no_response,,,,,,5.0
T100015,C200015,2025-06-14,DPA,self_hosted,enterprise,EMEA,France,MySQL,DBA,organic,seo-blog,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,8.0
T100016,C200016,2025-12-08,DPA,self_hosted,SMB,NAM,Canada,Azure SQL,DBA,paid_search,gads-dba-tools,B,14,true,true,false,false,false,0,false,,missing_db_platform,,,,,,91.0
T100017,C200017,2025-02-22,DPA,self_hosted,enterprise,NAM,Canada,MySQL,DBA,direct,direct,A,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,7.0
T100018,C200018,2026-04-08,SQL Sentry,self_hosted,mid_market,EMEA,United Kingdom,Azure SQL,DBA,paid_search,gads-brand,A,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,56.0
T100019,C200019,2026-01-13,SQL Sentry,self_hosted,SMB,EMEA,United Kingdom,SQL Server,DBA,organic,seo-docs,B,14,false,false,false,false,false,0,false,,no_response,,,,,,11.0
T100020,C200020,2026-03-10,DPM,saas,enterprise,EMEA,Netherlands,MySQL,DBA,paid_search,gads-sql-monitoring,B,14,true,true,true,true,false,0,false,,price,,,,,,67.0
T100021,C200021,2025-08-28,DPM,saas,enterprise,NAM,United States,Amazon Aurora,DBA,channel_partner,reseller-emea,B,14,true,true,true,true,false,0,false,,no_response,,,,,,51.0
T100022,C200022,2026-06-04,DPA,self_hosted,SMB,NAM,United States,Azure SQL,IT_ops,direct,direct,A,14,true,false,false,false,false,0,false,,chose_competitor,Redgate,,,,,5.0
T100023,C200023,2026-05-05,DPA,self_hosted,mid_market,LATAM,Mexico,Amazon RDS,IT_ops,content,ebook-sql-server,A,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,28.0
T100024,C200024,2026-03-19,DPM,saas,enterprise,NAM,United States,MySQL,IT_ops,direct,direct,B,30,true,true,true,true,false,0,true,24.0,,,Premier,32200.0,2683.0,27.0,4.0
T100025,C200025,2025-05-25,DPA,self_hosted,mid_market,LATAM,Argentina,SQL Server,DBA,organic,organic-brand,B,30,false,false,false,false,false,0,false,,setup_too_complex,,,,,,6.0
T100026,C200026,2025-10-26,DPA,self_hosted,mid_market,APAC,Japan,SQL Server,developer,content,webinar-postgres,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,42.0
T100027,C200027,2025-02-06,DPA,self_hosted,SMB,EMEA,United Kingdom,Amazon RDS,developer,content,whitepaper-query-tuning,B,14,true,true,false,false,false,0,false,,chose_competitor,Datadog,,,,,43.0
T100028,C200028,2025-04-28,SQL Sentry,self_hosted,SMB,NAM,Canada,Azure SQL,DBA,organic,seo-blog,B,30,false,false,false,false,false,0,false,,setup_too_complex,,,,,,6.0
T100029,C200029,2026-02-05,DPA,self_hosted,mid_market,APAC,Japan,MySQL,developer,content,ebook-sql-server,A,14,true,false,false,false,false,0,false,,no_response,,,,,,33.0
T100030,C200030,2026-03-04,DPA,self_hosted,mid_market,LATAM,Mexico,SQL Server,DBA,content,webinar-postgres,B,14,false,false,false,false,false,0,false,,no_response,,,,,,40.0
T100031,C200031,2026-06-03,DPA,self_hosted,mid_market,APAC,Singapore,Azure SQL,DBA,events,sqlbits,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,127.0
T100032,C200032,2025-08-12,SQL Sentry,self_hosted,mid_market,APAC,Australia,Azure SQL,DBA,channel_partner,reseller-apac,B,14,true,false,false,false,false,0,false,,price,,,,,,33.0
T100033,C200033,2025-09-06,DPA,self_hosted,SMB,EMEA,France,Azure SQL,DBA,paid_search,bing-dba,A,14,true,true,false,false,false,0,false,,price,,,,,,81.0
T100034,C200034,2025-10-28,SQL Sentry,self_hosted,mid_market,NAM,United States,SQL Server,developer,organic,seo-docs,B,30,false,false,false,false,false,0,false,,setup_too_complex,,,,,,7.0
T100035,C200035,2025-05-21,DPA,self_hosted,SMB,LATAM,Brazil,SQL Server,DBA,referral,g2-review,B,14,true,true,false,false,false,0,false,,price,,,,,,13.0
T100036,C200036,2025-04-11,DPA,self_hosted,mid_market,NAM,Canada,Amazon RDS,IT_ops,events,pass-summit,A,14,true,false,false,false,true,14,false,,no_response,,,,,,104.0
T100037,C200037,2025-10-31,DPA,self_hosted,enterprise,EMEA,France,PostgreSQL,IT_ops,paid_search,gads-dba-tools,B,14,false,false,false,false,false,0,false,,no_response,,,,,,57.0
T100038,C200038,2025-06-14,DPA,self_hosted,mid_market,NAM,United States,MySQL,DBA,content,webinar-postgres,A,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,22.0
T100039,C200039,2026-01-30,DPA,self_hosted,SMB,APAC,Australia,Amazon RDS,IT_ops,channel_partner,reseller-apac,A,14,true,false,false,false,false,0,true,12.0,,,Standard,2900.0,242.0,2.0,55.0
T100040,C200040,2025-10-11,DPM,saas,enterprise,APAC,Singapore,Amazon Aurora,DBA,organic,organic-brand,B,14,true,false,false,false,false,0,false,,price,,,,,,11.0
T100041,C200041,2026-04-10,DPA,self_hosted,SMB,EMEA,United Kingdom,Oracle,DBA,organic,seo-blog,A,14,true,false,false,false,false,0,false,,missing_db_platform,,,,,,7.0
T100042,C200042,2026-02-13,DPM,saas,SMB,NAM,United States,Amazon Aurora,DBA,content,whitepaper-query-tuning,B,14,true,true,false,false,true,14,true,19.0,,,Standard,3000.0,250.0,2.0,41.0
T100043,C200043,2025-08-04,DPA,self_hosted,enterprise,NAM,Canada,MySQL,developer,organic,seo-blog,B,14,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,9.0
T100044,C200044,2026-04-10,DPA,self_hosted,SMB,NAM,United States,PostgreSQL,IT_ops,referral,customer-referral,B,14,true,true,true,true,false,0,true,11.0,,,Standard,1900.0,158.0,2.0,12.0
T100045,C200045,2026-03-30,SQL Sentry,self_hosted,SMB,LATAM,Mexico,SQL Server,IT_ops,organic,seo-docs,A,30,false,false,false,false,false,0,false,,setup_too_complex,,,,,,11.0
T100046,C200046,2025-09-15,DPM,saas,enterprise,NAM,United States,Redis,DBA,events,aws-reinvent,A,14,false,false,false,false,false,0,false,,missing_db_platform,,,,,,145.0
T100047,C200047,2025-07-21,DPA,self_hosted,SMB,LATAM,Brazil,Amazon RDS,IT_ops,email,db-tips-drip,B,30,false,false,false,false,false,0,false,,no_response,,,,,,7.0
T100048,C200048,2026-02-05,DPA,self_hosted,mid_market,NAM,Canada,SQL Server,IT_ops,organic,seo-blog,A,30,false,false,false,false,false,0,false,,missing_db_platform,,,,,,6.0
T100049,C200049,2025-04-18,SQL Sentry,self_hosted,mid_market,APAC,Australia,SQL Server,developer,organic,organic-brand,A,30,false,false,false,false,false,0,false,,no_response,,,,,,12.0
T100050,C200050,2025-05-28,DPA,self_hosted,SMB,EMEA,Germany,SQL Server,IT_ops,paid_search,bing-dba,B,14,false,false,false,false,false,0,false,,no_response,,,,,,82.0
T100051,C200051,2025-01-07,SQL Sentry,self_hosted,mid_market,APAC,India,SQL Server,DBA,content,ebook-sql-server,A,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,36.0
T100052,C200052,2026-03-22,DPM,saas,SMB,EMEA,Netherlands,Amazon Aurora,developer,organic,seo-docs,A,14,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,7.0
T100053,C200053,2026-01-28,DPA,self_hosted,enterprise,APAC,Japan,Azure SQL,IT_ops,referral,g2-review,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,12.0
T100054,C200054,2026-02-15,DPM,saas,enterprise,APAC,Australia,MongoDB,DBA,events,pass-summit,B,14,true,false,false,false,false,0,false,,no_response,,,,,,142.0
T100055,C200055,2026-03-20,DPA,self_hosted,SMB,NAM,United States,Azure SQL,IT_ops,paid_search,gads-dba-tools,A,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,89.0
T100056,C200056,2025-10-22,DPM,saas,mid_market,LATAM,Argentina,MySQL,DBA,organic,seo-docs,A,30,false,false,false,false,false,0,false,,missing_db_platform,,,,,,7.0
T100057,C200057,2025-12-15,DPM,saas,mid_market,EMEA,France,MySQL,IT_ops,organic,organic-brand,B,14,true,false,false,false,false,0,false,,no_response,,,,,,12.0
T100058,C200058,2025-04-18,SQL Sentry,self_hosted,mid_market,NAM,Canada,Azure SQL,DBA,channel_partner,partner-portal,B,14,false,false,false,false,false,0,false,,no_response,,,,,,54.0
T100059,C200059,2025-03-31,DPM,saas,SMB,NAM,Canada,MongoDB,IT_ops,channel_partner,partner-portal,A,14,true,false,false,false,false,0,false,,price,,,,,,46.0
T100060,C200060,2026-01-30,DPM,saas,SMB,EMEA,Netherlands,Amazon Aurora,DBA,content,ebook-sql-server,A,14,true,true,true,true,false,0,true,13.0,,,Standard,2600.0,217.0,2.0,22.0
T100061,C200061,2025-10-28,DPA,self_hosted,SMB,APAC,India,PostgreSQL,IT_ops,content,webinar-postgres,A,14,true,false,false,false,false,0,false,,price,,,,,,32.0
T100062,C200062,2025-12-13,DPA,self_hosted,mid_market,APAC,Singapore,Amazon RDS,DBA,paid_social,li-dba-persona,A,14,true,false,false,false,false,0,false,,no_response,,,,,,81.0
T100063,C200063,2026-03-13,DPA,self_hosted,SMB,NAM,United States,Azure SQL,DBA,events,pass-summit,A,30,true,false,false,false,false,0,false,,price,,,,,,90.0
T100064,C200064,2026-01-15,DPA,self_hosted,mid_market,EMEA,UAE,Oracle,DBA,channel_partner,reseller-apac,A,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,57.0
T100065,C200065,2025-12-08,SQL Sentry,self_hosted,enterprise,NAM,Canada,Azure SQL,DBA,paid_search,bing-dba,A,14,false,false,false,false,false,0,false,,no_response,,,,,,81.0
T100066,C200066,2025-12-11,DPA,self_hosted,SMB,NAM,Canada,Azure SQL,IT_ops,channel_partner,reseller-apac,A,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,66.0
T100067,C200067,2025-07-30,SQL Sentry,self_hosted,mid_market,APAC,Japan,Azure SQL,DBA,paid_search,gads-sql-monitoring,B,14,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,104.0
T100068,C200068,2025-01-26,DPA,self_hosted,SMB,NAM,Canada,Azure SQL,DBA,paid_search,gads-sql-monitoring,A,30,false,false,false,false,false,0,false,,no_response,,,,,,81.0
T100069,C200069,2025-10-11,DPA,self_hosted,mid_market,NAM,Canada,Oracle,developer,channel_partner,partner-portal,B,14,true,false,false,false,false,0,false,,no_response,,,,,,39.0
T100070,C200070,2025-06-06,DPA,self_hosted,SMB,NAM,Canada,Amazon RDS,DBA,content,whitepaper-query-tuning,A,14,true,true,false,false,true,14,false,,price,,,,,,45.0
T100071,C200071,2025-09-26,DPM,saas,enterprise,NAM,United States,Amazon Aurora,DBA,organic,seo-blog,A,30,true,true,true,true,false,0,false,,price,,,,,,10.0
T100072,C200072,2026-04-19,DPA,self_hosted,SMB,NAM,Canada,MySQL,DBA,organic,seo-blog,A,14,true,true,false,false,false,0,true,9.0,,,Standard,2200.0,183.0,2.0,9.0
T100073,C200073,2025-06-18,DPA,self_hosted,enterprise,NAM,United States,Amazon RDS,developer,paid_search,gads-dba-tools,A,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,99.0
